uf,municipio,logradouro,complemento,bairro,telefone,id
PR,Toledo,Rua General Rondon,2201 -,Jardim La Salle,45 3055-2351,6695
RJ,Duque de Caxias,Avenida Presidente Vargas,120 -,Jardim Vinte e Cinco de Agosto,044-30276360,1063367
PR,Umuarama,Rua Aricanduva,3860 -,Zona Ii,(44)3055-2389,18762
RJ,Mage,Rua Brasil,245 -,Piabetá,(21) 2659-5251,2005672
RJ,Itaperuna,Avenida Presidente Dutra,445 -,Centro,(43) 3371-7473  (31) 2126-0820,5743
RJ,Niteroi,"Av. Ernani do Amaral Peixoto, Bloco C, 836, Centro.",836 - Bloco C 2º Andar,Não,(21)3002-2222,9497
PR,Telemaco Borba,Avenida  Presidente Kennedy,780 -,Centro,(42)3273-1938,18753
PR,Ubirata,Rua Princesa Isabel,623 -,Centro,(44)3543-4670,6697
PR,Telemaco Borba,Rua Prof. Ney de Oliveira Pimenta,76 -,Centro,(43) 3371-7473 (31) 2126-0820,4101
PR,Umuarama,Rua Doutor Camargo,4820 - Polo Cei Umuarama,Centro,44 99569952,1069054
PR,Siqueira Campos,Rua dos Expedicionários,2608 -,Boa Vista,43-33717473 31 21260820,1059422
PR,Sao Jose dos Pinhais,Avenida Rui Barbosa,9551 -,Centro,(41) 2117 9800 / (41)2105-4122,659040
RJ,Itaperuna,Br 356,25 -,Presidente Costa e Silva,(22) 3823-7553 / (22)3811-0111,659215
PR,Telemaco Borba,Avenida Marechal Floriano Peixoto,1181 -,Alto das Oliveiras,4232718000,658561
PR,Sao Pedro do Ivai,Rua Pedro Paulo Sobrinho,337/343 -,Centro,43-34512901  99926-1030,2006206
PR,Sao Miguel do Iguacu,Rua Valentim Celeste Palavro,1.501 -,Conjunto Panorama,(45) 3565 3181,658532
PR,Toledo,Avenida Parigot de Souza,2986 -,Vila Industrial,43-33717473 31 21260820,3221
PR,Sao Jose dos Pinhais,Rua Professora Marieta de Souza e Silva,2078 -,Parque da Fonte,(41) 3028 -2824,1064711
PR,Santo Antonio do Sudoeste,Avenida Brasil,1288 -,Centro,46 35633905,12269
PR,Santo Antonio da Platina,Rua Diogo de Paula Viana,727 -,Jardim Egea - Centro,43-33717473 31 21260820,1059433
PR,Terra Rica,Av São Paulo,692 -,Centro,044-30276360,1063423
PR,Santo Antonio do Sudoeste,Av. Brasil,300 -,Centro,(46)3563-3333,18701
PR,Santa Helena,Avenida Brasil,2520 -,Centro,45 3268-1010,6666
PR,Tibagi,Praça Edmundo Mercer,168 - Fateb - Unidade Tibagi,Centro,(42) 3275-2964,1084587
PR,Realeza,Av. Bruno Zuttion,3391 -,Centro,(46) 35434000,2006147
RJ,Mage,Rua Brasil,245 -,Piabetá,(43) 3371-7473  (31) 2126-0820,1051570
PR,Rolandia,Rua Santos Dumont,783 -,Centro,43 32564465,12223
RJ,Barra do Pirai,Rodovia Benjamim Ielpo,Km 11 -,Estrada Barra do Piraí X Valença,(24) 3345-1700,705950
PR,Rio Negro,Rua Getúlio Vargas,773 -,Centro,47 3642-0424,6662
PR,Rio Negro,Rua Nicolau Bley Neto,684 -,Centro,(43) 3371-7473  (31) 2126-0820,3746
PR,Santo Antonio da Platina,"Rodovia Br 153, Km 40",S/n -,Pq. de Exposições Dr. Alício Dias dos Reis,(43) 3534 4177,658377
PR,Quedas do Iguacu,Rua Jacarandá,206 -,Centro,46 3532 3375,2006144
PR,Pien,Rua Uberlândia,95 -,Avencal,(41)3632-1918,6651
PR,Sao Mateus do Sul,Rua Vitório Biancolini,1531 -,Centro,42 35326237 / 9976-0113,12357
PR,Terra Boa,Av. Melvin Jones,1169 -,Fraternidade,44-99987-0652,18755
PR,Pato Branco,Rua Mato Grosso,200 -,Centro,(46) 2101-8200,658415
PR,Paranavai,Rua Getúlio Vargas,333 -,Jardim São João,(44)3045-7741,659920
PR,Paranavai,"Rua Pará, Esquina Com Rio Grande do Norte, N° 1964","1964 - Lote 18, Quadra 98 - Centro",Centro,(44) 3045-7934,35192
PR,Pitanga,Avenida Universitária,S/n -,Cantu,(42) 3646-5555,659225
PR,Pato Branco,Rua Benjamin Borges dos Santos,1100 -,Fraron,(46) 3220 3000,658548
PR,Santa Terezinha de Itaipu,Rua João Xxiii,303 -,Centro,(45) 3541-0221,6668
PR,Paranagua,Rua Comendador Correia Junior,577 -,Centro,(41) 3423-2352,11755
PR,Palmital,R. Escrivã Egleci Terez. Gom. C Ampanini,859 -,Centro,42-3657-2235,6548
PR,Palmeira,Rua Xv de Novembro,530 -,Centro,42 3252-3901,11723
PR,Paranavai,Rua Pernambuco,1169 -,Centro,(43) 3371-7473  (31) 2126-0820,1051581
PR,Rio Branco do Sul,"Rua Coronel Carlos Pioli,",210 -,Centro,41-3652-7060,2006151
PR,Paraiso do Norte,Rua Olavo Bilac,78 -,Centro,(44)3431-1212 3431-2211,1043226
PR,Pinhais,Rua Peabiru,102 - Polo de Apoio Presencial de Pinhais/pr,Emiliano Perneta,(47) 3301-9132,1083894
PR,Medianeira,Rua Santa Catarina,2136 - Sala 02,Centro,45 3264-6758,6540
PR,Maringa,Rodovia Pr-317,298 - Smg,Parque Industrial,(44) 3220-2000,1085202
PR,Maringa,Av. Guedner,1.610 - Bloco 4,Jd. Aclimação,(44)3027-6360,8582
PR,Matinhos,Rua Juscelino Kubistchek de Oliveira,1313 -,Centro,(41)3452-6977,2006087
PR,Maringa,Avenida Advogado Horácio Raccanello Filho,5475 - Edifício ??regon - Térreo - Sala 02,Zona 01 - Novo Centro,44-3255-4543,6534
PR,Prudentopolis,Rua Candido de Abreu,S/n -,Centro,00,12105
PR,Maringa,Avenida Mauá,2854 -,Zona 01,(44)2101-5555 / (44)2101-5550,658540
PR,Maringa,Avenida Anchieta,- N°634/n°898,Zona 1,(44)3220-2000,1043345
PR,Medianeira,Rua Rio Branco,1820 -,Centro,(45) 3264-5678,1044005
PR,Maringa,Avenida Duque de Caxias,1020 -,Zona 07,(44)30158700,1060378
PR,Maringa,Avenida Advogado Horácio Raccanello Filho,5950 - Sobreloja,Zona 07,(44)3028-4416,143781
PR,Mangueirinha,"Av. Saldanha Marinho, 502 Centro",674 -,Cacique Cretan,00,11247
PR,Ponta Grossa,Avenida Doutor Vicente Machado,585 -,Centro,(42)3227-9955,8299
PR,Rolandia,Rua Dom Pedro Ii,400 -,Jardim Horácio Cabral,(43)3255-8500,657890
PR,Ponta Grossa,Av. Carlos Cavalcanti,527 -,Uvaranas,42 3028-6700,6655
PR,Manoel Ribas,Rua Ivan Ferreira do Amaral Filho,601 -,Centro,(43) 3371-7473  (31) 2126-0820,3739
PR,Ponta Grossa,Rua Barão do Cerro Azul,827 - Secal,Centro,(42) 3320-6700,1085207
PR,Nova Londrina,Rua Luiz Renato Libonari,95 -,Centro,44 3432-3380,11683
PR,Mandirituba,Rua Joaquim de Oliveira Franco,135 -,Centro,41-3626-2400,6528
PR,Loanda,Rua Wenceslau Bras,1399 -,Centro,(44) 3425-1109,35189
PR,Loanda,Rua Mato Grosso,240 - Térreo,Alto da Glória,(44)34251037,658594
PR,Ortigueira,Rua Manoel Guimarães,60 - Fateb - Unidade Ortigueira,Centro,(42) 3277-1939,1084586
PR,Londrina,Avenida Celso Garcia Cid,1523 -,Vila Ipiranga,4430276360,8302
PR,Ponta Grossa,Rua Barão do Cerro Azul,827 -,Centro,(42) 3220 6700,658719
PR,Londrina,Avenida Juscelino Kubitscheck,1626 -,Centro,(43)3375-7500,657888
PR,Ponta Grossa,Rua Balduíno Taques,810 -,Centro,42-3219-8000,1066349
PR,Loanda,Rua Mato Grosso,240 -,Centro,(43) 3371-7473  (31) 2126-0820,8556
PR,Londrina,Avenida Tiradentes,858  -,Jardim Shangrila,43-3361.2040,2006074
PR,Londrina,Rua Prefeito Faria Lima,400 -,Jardim Maringá,---------------------,659186
PR,Londrina,Rua Alagoas,2001 -,Centro,(43) 98269000,1068328
PR,Londrina,Rua Grafita,332 - Grêmio Uninorte,Waldemar Hauer,(43)3031-1251,1069794
PR,Londrina,Av. Jockey Club,485 -,Vila Hípica,(43) 3372-6000,1496
PR,Londrina,Avenida Rio de Janeiro,221 - Sala M,Centro,S/N,2004504
PR,Londrina,Avenida Theodoro Victorelli,150 - - Até 737/738,Helena,43 3371 7757,1069713
PR,Palotina,Av. Presidente Kennedy,2547 -,Osvaldo Cruz,44 3649 3081,11744
PR,Londrina,Rua Itararé,10 -,Canadá,(43) 3375-7500,3527
PR,Laranjeiras do Sul,Avenida Santos Dumont,2400 -,Centro,42 3635-3359,6520
PR,Jacarezinho,"Av. Getúlio Vargas,",670  -,Centro,433525-8178,2006052
PR,Ponta Grossa,Rua Visconde de Taunay,449 -,Centro,(42) 3025-5757,1036695
PR,Palmas,Av. Olímpio Carvalho de Lima,85 -,Centro,(43) 3371-7473  (31) 2126-0820,7189
PR,Lapa,Rodovia Olívio Belich Km 30,S/n -  Pr 476,Boqueirão,(41) 3235-6650,658320
PR,Iretama,Av. São Paulo,809 -,Centro,44 3573-1906,6499
PR,Maringa,Rua Mitsuzo Taguchi,1206 -,Vila Nova,(44) 30257535,1069377
PR,Quitandinha,Av. Eleutério Fernandes de Andrade,1650 -,Centro,3623-1137,6659
PR,Lapa,"Rua Senador Souza Naves, 864",864 -,Centro,41 3622-5678,6510
PR,Itaipulandia,Travessa Carlos Gomes,01 - Quadra 16,Centro,(45) 3559-1395,10630
PR,Jacarezinho,"Rua Padre Melo, 155.",155 -,Centro,(43) 3525-6176,2005667
PR,Guaratuba,Avenida Curitiba,950 -,Centro,41 3442 5364,6450
PR,Guaratuba,Rua Joaquim Menelau de Almeida Torres,101 -,Piçarras,(41) 3442-8500,695968
PR,Ibaiti,Avenida Tertuliano de Moura Bueno,1400 - Prédio,Flamenguinho,(43) 3546 1263 / (43) 3546-2468,137270
PR,Jaguariaiva,"Rua João Tracz,",162  -,Jd. Matarazzo,43 3535-3142,2006053
PR,Jaguariaiva,Avenida Paulo Cruz Pimentel,1402 -,Vila Pinheiro,(43) 3371-7473  (31) 2126-0820,1059417
PR,Guaira,"Rua Juscelino Kubitschek, 210",210  -,Jardim Zeballus,(45) 36425426,2006016
PR,Guaira,Av. Martin Luter King,60 -,Centro,(43) 3371-7473  (31) 2126-0820,2008622
PR,Guaira,Rua Carlos Gomes,558 -,Centro,44-3642-9500,472
PR,Londrina,Avenida Américo Deolindo Garla,224 -,Pacaembu,(43) 3371-7473  (31) 2126-0820,5621
PR,Guaraquecaba,Coronel João Isidoro,84 -,Centro,041 3482-1333,10975
PR,Goioere,Rua 19 de Dezembro,833 - Polo Cei Goioerê,Centro,44 98055222,1069073
PR,Ivaipora,Avenida Brasil,"1810 - Salas 05, 06, 07, 08, 09 e 11",Centro,(43)3472-5055,18009
PR,Ivaipora,Rua Santa Catarina,185 -,Centro,(43) 3371-7473  (31) 2126-0820,6959
PR,Foz do Iguacu,Rua Castelo Branco,349 -,Centro,(45)35237300,658448
PR,Foz do Iguacu,Rua Bartolomeu de Gusmão,1.324 -,Centro,4535746900,1072252
PR,Foz do Iguacu,Rua Quintino Bocaiúva,905 - Sala 06,Centro,45 30287500,6440
PR,Ibaiti,Avenida Dr. Fernandina do Amaral Gentile,405 -,Centro,(43) 3371-7473  (31) 2126-0820,3731
PR,Foz do Iguacu,Avenida Ranieli Mazzili,451 -,Parque Presidente I,(45) 30381013,1036680
PR,Foz do Iguacu,Avenida Paraná,3695 -,Jardim Central,(45) 3520-1727,659018
PR,Irati,Rua Manoel Ribas,171 -,Centro,42 3422-6419,11073
PR,Foz do Iguacu,Rua João Rouver,289 -,Centro,(45)3027-2466,8321
PR,Foz do Iguacu,Avenida Paraná,3.695 -,Jardim Central,(45) 3520 1727,658975
PR,Foz do Iguacu,Av. Paraná,3695 -,Jardim Central,00,9617
PR,Dois Vizinhos,Rua Nereu Ramos,1187 -,Centro,(46) 3536-3645,6632
PR,Foz do Iguacu,Rua David Muffatto,367 -,Jardim Comercial das Bandeiras,(45)35201900,659969
PR,Foz do Iguacu,Avenida Paraná,3695 -,Jardim Central,(45) 3520-1727,658145
PR,Curiuva,Rua João Milleo,265 - Fateb - Unidade Curiúva,Centro,(43) 3545-2205,1084563
PR,Chopinzinho,Rua Frei Everaldo,5571 -,Centro,(46) 3242-1856,18340
PR,Guarapuava,Av. Xv de Novembro,6198 -,Bonsucesso,(42)3624-7252,8296
PR,Guarapuava,Rua Senador Pinheiro Machado,2059 - Sala 02,Centro,(42)3035-4362,2006018
PR,Icaraima,Av Raul Barbosa Dias,S/n -,Centro,(43) 3371-7473  (31) 2126-0820,7198
PR,Guarapuava,Rua Comendador Norberto,1299 -,Santa Cruz,(42)36215200,660079
PR,Guarapuava,Rua Xv de Novembro,7.050 -,Centro,(42)36222000,1036273
PR,Dois Vizinhos,Avenida Presidente Kennedy,2.601 -,Nossa Senhora Aparecida,46-35815000,658658
PR,Coronel Vivida,"Rua José Foppa, S/n",215 -,"Loteamento Vila Industrial,",(43) 3371-7473  (31) 2126-0820,1059477
PR,Colorado,"Rua Bahia,",513 -,Centro,(44) 3323-2300,2005980
PR,Fazenda Rio Grande,Rua Itália,290 -,Nações,(41) 3608-2187,6439
PR,Guarapuava,Rua Quinze de Novembro,5200 - - de 4011/4012 A 5488/5489,Morro Alto,42 36217000,1072192
PR,Cascavel,Avenida Brasil,3732 -,São Cristóvão,(45)3035-3355,8313
PR,Cascavel,Rua Recife,997/1013 - - Até 1299/1300,Centro,45-30381013,1061051
PR,Jandaia do Sul,Rua José Maria de Paula Rodrigues,1825 -,Centro,43 3432 4356,1068253
PR,Guarapuava,Rua Guaíra,3170 -,Centro,S/N,2004420
PR,Ipora,Av. 31 de Março,500 -,Centro,(44) 3652-3912/ 99808-3355,6489
PR,Cascavel,Avenida Guaíra,510  -,Recanto Tropical,(45)3096.4045,2005972
PR,Cascavel,Rua Rocha Pombo,2.005 -,Região do Lago 4,(45)3219-4411,29121
PR,Francisco Beltrao,Avenida General Osório,20 -,Bairro da Cango,46 - 3523-7353 / 9115-4481,6444
PR,Cascavel,Rua Selvino Casagrande,781 -,Alto Alegre,45- 3226-0329,2005971
PR,Cianorte,Avenida São Paulo,577 - Polo Cei Cia Norte,Zona 02,98688281,1069458
PR,Fazenda Rio Grande,Rua Jatobá,569 - Esquina Com A Rua Marmeleiros,Eucaliptos,(41)3643-1551,1071715
PR,Cascavel,Rua Recife,1013 -,Centro,(45) 3038-1013,20765
PR,Cascavel,Rua Erechim,1596 -,Centro,(43) 3371-7473  (31) 2126-0820,1051546
PR,Cianorte,Rua Monte Castelo,375 - - de 71/72 A 399/400,Zona 02,(44) 3631-1200,1069772
PR,Cianorte,Avenida Brasil,1123 - Zona I,Centro,44-3619-3000,474
PR,Campo Mourao,Rua São Josafat,1457 -,Centro,(44)3529-2117,8284
PR,Campo Mourao,Rua Araruna,671 -,Centro,(44) 3016-3066,22394
PR,Campo Largo,Rua Rui Barbosa,541 -,Centro,(41) 3392-2211; (61) 3340-3661,1051007
PR,Cascavel,Avenida Tito Muffato,2317 -,Santa Cruz,(45) 3036-3636,658167
PR,Campo Largo,Av. Vereador Arlindo Chemin,100 -,Centro,(41) 3032-4344,17539
PR,Campo Largo,Rua Rui Barbosa,541 - Prédio Escolar,Centro,(41) 31163300,103714
PR,Campo Largo,Avenida Desembargador Clotário Portugal,933 -,Centro,0800-7744030,22303
PR,Francisco Beltrao,Avenida Antônio de Paiva Cantelmo,1222 -,Centro,(46) 3524 4242,658551
PR,Cianorte,Travessa Itororó,513 -,Zona 01,44 30182342,2005979
PR,Cafelandia,Rodovia Pr 574 Km 03,S/n - Saída Para Cascavel,Parque São Paulo,(45) 32412600,659071
PR,Cornelio Procopio,"Pr 160, Km 04",S/n - Saída Para Leópolis,Conjunto Universitário,(43) 3524 3301,658773
PR,Cornelio Procopio,Avenida Alberto Carazzai,914 -,Centro,(43) 3371-7473  (31) 2126-0820,3071
PR,Capanema,Rua Rio de Janeiro,773 -,Centro,46 3552 2222 / 8803-9100,2005964
PR,Astorga,Rua Bahia,263 -,Centro,(44) 3234 3321,658622
PR,Castro,Praça Sant'ana do Iapó,15 -,Centro,(43) 3371-7473  (31) 2126-0820,22458
PR,Bandeirantes,Avenida Edelina Meneghel Rando,151 -,Vila Macedo,(43) 3371-7473  (31) 2126-0820,1896
PR,Arapoti,Rua Cláudio Vanderlei Moreira,313 - Sala 6,Centro,(43) 3557-1724,6388
PR,Arapoti,Rua das Rosas,001 -,Residencial Inpacel,(43) 3557-2566,658619
PR,Barbosa Ferraz,Rua Marechal Deodoro da Fonseca,398 -,Centro,44-30276360 ramal 1109,8357
PR,Francisco Beltrao,Av União da Vitória,14 -,Miniguaçu,46-35361005,139763
PR,Apucarana,A. Curitiba,868 - Sala 01,Centro,(43)3033-6310,8596
PR,Assis Chateaubriand,Avenida Brasil,1441 -,Jardim Paraná,(44) 3528-2337,658116
PR,Assis Chateaubriand,Avenida Brasil,1441 -,Jd Paraná,(44)3528 2337,10772
PR,Apucarana,Avenida Zilda Seixas Amaral,4350 -,Parque Industrial Norte,(43) 3420 1700,658819
PR,Campo Largo,Rua Marechal Deodoro,636 -,Centro,(43) 3371-7473  (31) 2126-0820,1059152
PR,Apucarana,Avenida Talita Bressolin,1139 -,Jardim Eliane,(43) 3423-0500,22416
PR,Altonia,Rua Tiradentes,531 -,Centro,(45) 3659-4001,22640
PR,Campo Mourao,Avenida Irmãos Pereira,870 - Integrado Serviços,Centro,44 35182500,1055937
PR,Antonina,Rua Coronel João Viana,48 A -,Centro,41-34322344,2005912
PR,Apucarana,Rua Irmã Eleutéria,155 -,Centro,(43)3033-2100,11440
PI,Teresina,Avenida Ininga,"1201 - Shopping Center Riverside Walk, Lojas 400, 401, 402 e 403, Segundo Piso",Jockey Club,(86)3230-2402;09982-9552,1042301
PI,Urucui,Rua Hilário Monteiro,1201 -,Centro,(89) 35441477,1047206
PR,Altonia,Rua da Bandeira,204 -,Centro,44 3659-3944,6369
PR,Astorga,"Av. Presidente Getúlio Vargas, 220 Centro",355 -,Centro,00,11487
PR,Apucarana,Rua Osvaldo de Oliveira,600 -,Jardim Flamingos,(43) 3033 8900,658404
PI,Teresina,Rua Durvalino Couto,1220 -,Jockey Club,(86)3234-2839; 9,1076416
PR,Capitao Leonidas Marques,Rua Sibipiruna,95 -,São Gabriel,45 3286-2131,11610
PI,Teresina,Rua Vitorino Orthiges Fernandes,6123 -,Uruguai,(86) 2106-0700,658582
PI,Teresina,Avenida Valter Alencar,665 - Sul,Sao Pedro,(86) 3215-8700,658275
PI,Teresina,Rua São Pedro,965 -,Centro,(86) 3194-1800,659790
PI,Teresina,Avenida Joquei Clube,710 -,Joquei Clube,(81) 3413.4611,658683
PI,Teresina,Rua Walfran Batista,91 -,São Cristóvão,8632322500,24308
PI,Teresina,Rua Manoel da Paz,1131 -,Teresina,(86) 3218-5544; (61) 3340-3661,1051266
PI,Teresina,Rua Yolanda Raulino,3978 -,Itararé,(43) 3371-7473  (31) 2126-0820,7239
PI,Teresina,Avenida dos Expedicionários,790 -,São João,(86) 4009 4300/3232 4888,658165
PI,Teresina,Rua Iolanda Raulino,3978 -,Dirceu Ii,43-33717473 31 21260820,2008394
PI,Sao Raimundo Nonato,Rua Major Jerônimo Belo,85 -,Centro,43-33717473 31 21260820,1051608
PR,Arapongas,Rua Macuco,176 -,Vila Aratimbo,(43) 3152 6464,1061822
PI,Teresina,Rua Joca Pires,1.000 -,Fátima,(86)3234-3063,659010
PI,Parnaiba,Rodovia Br-343,"Km 7,5 -",Floriópolis,(81)34134611,1065645
PR,Arapongas,Rua Falcão,768 -,Centro,(43)3056-3635,26002
PI,Floriano,Rua Eurípedes de Aguiar,235 - Sala 05,Centro,(89) 3522-3736,17273
PI,Teresina,Rua São Pedro,880 -,Centro,(85) 997934917,1074170
PI,Parnaiba,"Br 343 , Km 7,5",S/n -,Floriópolis,0,131796
PI,Campo Maior,Avenida José Paulino,200 -,Centro,(43) 3371-7473  (31) 2126-0820,1051676
PR,Araucaria,Rua Fernando Suckow,475 - A,Centro,41 3031-1271 OU 41 3031-7668,2005919
PR,Araucaria,Avenida das Araucárias,3.803 -,Thomas Coelho,(41) 3643 1551,658839
PR,Cambe,Av. Bento Munhoz da Rocha Neto,210 -,Conjunto Castelo Branco,(43) 3174 5454,658767
PI,Floriano,Av. Euripedes de Aguiar,850 -,Centro,(43) 3371-7473  (31) 2126-0820,2008480
PE,Serra Talhada,Rua João Luiz de Melo,2110 -,Tancredo Neves,87 38311472,1048639
PI,Teresina,Avenida Jóquei Clube,710 -,Jóquei Clube,(81)34134611,1065651
PE,Serra Talhada,Rua Comandante Superior Manoel Pereira da Silva,841 -,Nossa Senhora da Penha,43-33717473 31 21260820,2008410
PE,Salgueiro,Rua Major Antonio Rufino,"1119 - Térreo, 1º e 2º Andar",Nossa Senhora das Graças,(43) 3371-7473  (31) 2126-0820,1051593
PI,Esperantina,Rua Santos Dumont,102 -,Centro,(43) 3371-7473  (31) 2126-0820,1051550
PE,Petrolina,Rua Barão do Rio Branco,812 -,Centro,87 98821-0873,17212
PE,Petrolina,Avenida Coronel Clementino Coelho,714 -,Atrás da Banca,81 3413-4611,1071268
PI,Picos,"Br 316, Km 302,5",S/n -,Altamira,(89)34157000,659665
PE,Petrolina,Avenida Barão do Rio Branco,812 -,Centro,8194217745,1070116
PE,Vitoria de Santo Antao,Rua do Estudante,85 -,Universitario,(81) 3523-0103,658694
PE,Petrolina,Rua das Umburanas,115 -,Areia Branca,(43) 3371-7473  (31) 2126-0820,1051584
PR,Araucaria,Rua Lourenço Jasiocha,1058 -,Centro,(41)3028-2824,1064353
PI,Bom Jesus,Rua São Miguel,315 - A,Centro,(43) 3371-7473  (31) 2126-0820,1051532
PE,Timbauba,Avenida Belarmino Rodrigues,276 -,Centro,(81) 3631-0468; (61) 3340-3661,1050980
PI,Piripiri,Rua Acelino Rezende,132 -,Fonte dos Matos,(86) 3276 1198 e 3276 2981,659377
PI,Piripiri,Rua Pires Rebelo,434 -,Centro,(43) 3371-7473  (31) 2126-0820,1051586
PI,Teresina,Rua Veterinário Bugyja Brito,1354 -,Horto Florestal,(86)3216-7925,658725
PE,Jaboatao dos Guararapes,Rua José Braz Moscow,252 -,Piedade,(81)996491504,1071248
PE,Jaboatao dos Guararapes,Rua José Braz Moscow,252 -,Piedade,(81) 3361 1941,658927
PE,Gravata,Avenida Governador Agamenon Magalhães,125 -,Prado,(43) 3371-7473  (31) 2126-0820,1051559
PR,Campina Grande do Sul,Rua Aderico Bandeira Lima,1020 -,Jd. Paulista,41 3679-7211,17496
PR,Campina Grande do Sul,Rua Duilio Calderari,600 -,Jardim Paulista,(41) 3679 1022,658679
PE,Petrolina,Avenida Monsenhor ??ngelo Sampaio,219 -,São José,7932182160,1059350
PE,Caruaru,Rua João Soares de Lira,1925 -,Boa Vista,44-30276360 ramal 1109,1069223
PE,Caruaru,Avenida Adjar da Silva Case,800 -,Indianópolis,(81) 3722 - 8080,658755
PE,Caruaru,Rua Deolinotavares,87 -,Maurício de Nassau,81 3719-0228,2005970
PE,Jaboatao dos Guararapes,Avenida Barão de Lucena,99 -,Centro,(81) 34615584,1081189
PE,Caruaru,Rua Valdomiro Silveira,615 -,Indianópolis,(43) 3371-7473  (31) 2126-0820,3092
PE,Paulista,Avenida Doutor Cláudio José Gueiros Leite,2939 -,Janga,(81)34134611,1065638
PE,Petrolina,Avenida Coronel Clementino Coelho,714 -,Atrás da Banca,34134611,1061303
PE,Paulista,Avenida Doutor Cláudio José Gueiros Leite,973 -,Janga,(43) 3371-7473  (31) 2126-0820,1051700
PE,Carpina,Rodovia Br 408,5 - Km 76 Loja 5,Novo,(43) 3371-7473  (31) 2126-0820,1051545
PE,Caruaru,"Rua Padre Félix Barreto, 5° Andar",79 -,Maurício de Nassau,(81) 3045-4801,20786
PE,Paulista,Avenida Doutor Cláudio José Gueiros Leite,2939 -,Janga,(81) 3434-4018 / (81) 3434-4482,658598
PE,Paulista,Avenida Senador Salgado Filho,S/n -,Centro,(81) 3413 4611,659766
PE,Arcoverde,Rua Eutrópio Freire,47 -,Centro,(43) 3371-7473  (31) 2126-0820,1051524
PE,Cabo de Santo Agostinho,"Rodovia Pe 37,quadra C",1bc1 -,Cabo,8134134611,1071254
PE,Cabo de Santo Agostinho,Rodovia Pe-37,85 - Lt 1bc1 Qd C,Pirapama,(81) 9964-9150,1077957
PE,Garanhuns,Rua Ernesto Dourado,196 -,Heliópolis,87 3762 3588,1061091
PE,Garanhuns,Praça da Bandeira,53 -,São José,(81)34134611,1065692
PE,Garanhuns,Avenida Júlio Brasileiro,703 -,Heliópolis,(43) 3371-7473  (31) 2126-0820,1051556
PE,Afogados da Ingazeira,Av. Julio Camara,706 -,Centro,(87)3838-1763,12696
PE,Araripina,Rua Tiradentes,240 -,Centro,(43) 3371-7473  (31) 2126-0820,1051522
PE,Pesqueira,Rua José Nepomuceno das Neves,47 A 57 -,Centro,(43) 3371-7473  (31) 2126-0820,8034
PB,Guarabira,Rua Luiz Porpino da Silva,120 -,Areia Branca,(43) 3371-7473  (31) 2126-0820,1051560
PB,Guarabira,Rua José Antônio Uchoa,44 -,Centro,(89) 3522 3416,1071671
PB,Guarabira,Rua Dr. Sales,116 -,Centro,(83) 9988-5660,1070783
PB,Campina Grande,Rua Doutor Severino Ribeiro Cruz,735 -,Centro,044-30276360,1063236
PB,Campina Grande,Av: Senador Argemiro de Figueiredo,1901 -,Itararé,(83)21018800,145597
PB,Campina Grande,Rua Coronel Antonio Pessoa,111 -,Centro,83 33214601,31961
PE,Caruaru,Ac Entroncamento da Br 232 Com A Br 104,1215 -,Agamenon Magalhães,(81)996491504,1046564
PB,Campina Grande,Rua Almeida Barreto,242 -,São José,(83) 3341 5140,1040348
PB,Campina Grande,Rua Doutor Severino Ribeiro Cruz,707 -,Centro,(83) 3339-5779,22727
PB,Campina Grande,Rua João Tavares,373 -,Centro,0,2006958
PB,Campina Grande,Rua Quebra Quilos,18 - Lote 7 - Quadra C,Centro,(43) 3371-7473  (31) 2126-0820,1051542
PB,Joao Pessoa,Br 230 - Km 22,S/n - Campus do Unipê,??gua Fria,(83) 2106 9200,657848
PB,Joao Pessoa,Rua Hildebrando Tourinho,177 -,Miramar,(83)3247-4300,11305
PB,Joao Pessoa,Avenida Expedicionários,100 -,Expedicionários,(83) 3021-7788 / (83) 3021-3388,17101
PB,Joao Pessoa,Rua Orlando Soares de Oliveira,36 -,Miramar,83 30219999,1052357
PB,Joao Pessoa,Avenida Almirante Barroso,750 -,Centro,(83) 32212288,1053168
PB,Joao Pessoa,Avenida Governador Flávio Ribeiro Coutinho,115 -,Manaíra,(83) 3245 7571,659754
PB,Joao Pessoa,Av. Monsenhor Walfredo Leal,512 -,Tambiá,(83) 31332920,1049727
PB,Joao Pessoa,Rua Manoel Gualberto,255 -,Miramar,(83)  3214-7673,659054
PB,Joao Pessoa,Rua Vereador Alberto Falcão Barroca,210 -,Miramar,(083)991587064,1056028
PB,Patos,Rua Manoel Mota,S/n -,Monte Castelo,83 34212152,1061099
PB,Patos,Rua Panatis,5 -,Belo Horizonte,(43) 3371-7473  (31) 2126-0820,3743
PB,Joao Pessoa,Praça Caldas Brandão,20 - Largo do Hospital Santa Isabel,Tambiá,(81) 996491504,1079898
PB,Joao Pessoa,Avenida Presidente Epitácio Pessoa,67 -,Estados,81-34134611,1054601
PB,Joao Pessoa,Avenida João Maurício,1819 -,Bessa,(83) 21063828,658239
PB,Joao Pessoa,Rua Afonso Barbosa,2011 -,Jardim Marizópolis,(83) 2106 9500,693539
PB,Joao Pessoa,Rua Inácio Ramos de Andrade,S/nº -,Bancários,(43) 3371-7473  (31) 2126-0820,2008455
